franchiseAbbrv,teamAbbrv,espnAbbrv,league,division,city,teamName,alternateName,startDate,endDate,locationCity,locationState,colorA,colorB,colorC,colorD,colorE
PIT,PT1,,AA,,Pittsburgh,Alleghenys,,4/18/1885,10/12/1886,Pittsburg,PA,#002244,#FFFFFF,,,
PIT,PIT,,NL,,Pittsburgh,Alleghenys,Innocents (1890),4/30/1887,10/3/1890,Pittsburg,PA,#002244,#FFFFFF,,,
PIT,PIT,,NL,,Pittsburgh,Pirates,,4/22/1891,12/31/1947,Pittsburgh,PA,#002244,#C8102E,#FFFFFF,,
PIT,PIT,,NL,,Pittsburgh,Pirates,,1/1/1948,9/29/1968,Pittsburgh,PA,#27251F,#FDB827,#FFFFFF,,
PIT,PIT,,NL,E,Pittsburgh,Pirates,,4/8/1969,10/3/1993,Pittsburgh,PA,#27251F,#FDB827,#FFFFFF,,
PIT,PIT,PIT,NL,C,Pittsburgh,Pirates,,4/4/1994,,Pittsburgh,PA,#27251F,#FDB827,#FFFFFF,,
SDN,SDN,,NL,W,San Diego,Padres,,4/8/1969,12/31/1984,San Diego,CA,#4E3629,#FFC425,#FFFFFF,,
SDN,SDN,,NL,W,San Diego,Padres,,1/1/1985,12/31/1990,San Diego,CA,#4E3629,#FF5910,#FFFFFF,,
SDN,SDN,,NL,W,San Diego,Padres,,1/1/1991,12/31/2003,San Diego,CA,#002D62,#FF5910,#FFFFFF,,
SDN,SDN,,NL,W,San Diego,Padres,,1/1/2004,12/31/2019,San Diego,CA,#002D62,#B4A76C,#FFFFFF,,
SDN,SDN,SD,NL,W,San Diego,Padres,,1/1/2020,,San Diego,CA,#2F241D,#FFC425,#FFFFFF,,
SEA,SEA,,AL,W,Seattle,Mariners,,4/6/1977,12/31/1992,Seattle,WA,#0033A0,#FFB612,#FFFFFF,,
SEA,SEA,SEA,AL,W,Seattle,Mariners,,1/1/1993,,Seattle,WA,#0C2C56,#005C5C,#C4CED4,#FFFFFF,
SFN,NY1,,NL,,New York,Gothams,,5/1/1883,10/14/1884,New York,NY,#002244,#FFFFFF,,,
SFN,NY1,,NL,,New York,Giants,,5/2/1885,9/29/1957,New York,NY,#27251F,#FD5A1E,#FFFFFF,,
SFN,SFN,,NL,,San Francisco,Giants,,4/15/1958,9/29/1968,San Francisco,CA,#FD5A1E,#27251F,#EFD19F,,
SFN,SFN,SF,NL,W,San Francisco,Giants,,4/7/1969,,San Francisco,CA,#FD5A1E,#27251F,#EFD19F,,
SLN,SLN,,AA,,St. Louis,Browns,Brown Stockings,5/2/1882,10/4/1891,St. Louis,MO,#4E3629,#FFFFFF,,,
SLN,SLN,,NL,,St. Louis,Browns,,10/15/1892,10/9/1898,St. Louis,MO,#4E3629,#FFFFFF,,,
SLN,SLN,,NL,,St. Louis,Perfectos,,4/15/1899,10/15/1899,St. Louis,MO,#C41E3A,#FFFFFF,,,
SLN,SLN,,NL,,St. Louis,Cardinals,,4/19/1900,9/29/1968,St. Louis,MO,#C41E3A,#0C2340,#FFFFFF,#FEDB00,
SLN,SLN,,NL,E,St. Louis,Cardinals,,4/8/1969,10/3/1993,St. Louis,MO,#C41E3A,#0C2340,#FFFFFF,#FEDB00,
SLN,SLN,STL,NL,C,St. Louis,Cardinals,,4/3/1994,,St. Louis,MO,#C41E3A,#0C2340,#FFFFFF,#FEDB00,
TBA,TBA,,AL,E,Tampa Bay,Devil Rays,,3/31/1998,9/30/2007,St. Petersburg,FL,#000000,#00543D,#512D6D,,
TBA,TBA,TB,AL,E,Tampa Bay,Rays,,3/31/2008,,St. Petersburg,FL,#092C5C,#8FBCE6,#F5D130,#FFFFFF,
TEX,WS2,,AL,,Washington,Senators,,4/10/1961,9/29/1968,Washington,DC,#0C2340,#BA0C2F,#FFFFFF,,
TEX,WS2,,AL,E,Washington,Senators,,4/7/1969,9/30/1971,Washington,DC,#0C2340,#BA0C2F,#FFFFFF,,
TEX,TEX,TEX,AL,W,Texas,Rangers,,4/15/1972,,Arlington,TX,#003278,#C0111F,#FFFFFF,,
TOR,TOR,,AL,E,Toronto,Blue Jays,,4/7/1977,12/31/2003,Toronto,ON,#0046AD,#E8291C,#FFFFFF,,
TOR,TOR,,AL,E,Toronto,Blue Jays,,1/1/2004,12/31/2011,Toronto,ON,#000000,#A2AAAD,#0046AD,,
TOR,TOR,TOR,AL,E,Toronto,Blue Jays,,1/1/2012,,Toronto,ON,#134A8E,#1D2D5C,#E8291C,#FFFFFF,
WAS,MON,,NL,E,Montreal,Expos,,4/8/1969,10/3/2004,Montreal,QC,#003087,#E4002B,#FFFFFF,,
WAS,WAS,WSH,NL,E,Washington,Nationals,,4/4/2005,,Washington,DC,#AB0003,#14225A,#FFFFFF,,
